season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2016-2017,RSV,ED Visits,18_44,0.002500,0.02,0.00
2020-2021,COVID-19,Admissions,18_44,3.910000,9.33,0.40
2021-2022,Influenza,ED Visits,00_04,0.816154,3.87,0.00
2023-2024,Broad Acute Respiratory,Admissions,18_44,6.426346,11.35,3.48
2017-2018,COVID-19,ED Visits,00_04,0.000000,0.00,0.00
2019-2020,ILI,Admissions,05_17,1.905769,8.82,0.00
2022-2023,RSV,Admissions,05_17,0.493654,5.31,0.00
2019-2020,RSV,Admissions,45_64,0.128269,1.03,0.00
2025-2026,COVID-19,ED Visits,05_17,0.321190,1.63,0.00
2025-2026,Influenza,Admissions,45_64,0.649762,4.61,0.00
2021-2022,RSV,ED Visits,00_04,1.255769,5.61,0.12
2025-2026,ILI,ED Visits,18_44,1.401667,4.44,0.45
2025-2026,Broad Acute Respiratory,ED Visits,05_17,18.483571,43.12,7.34
2025-2026,Influenza,ED Visits,05_17,3.767619,22.90,0.00
2024-2025,ILI,ED Visits,18_44,1.630385,4.51,0.52
2018-2019,ILI,ED Visits,00_04,7.853846,12.39,3.38
2020-2021,COVID-19,Admissions,45_64,7.215385,19.96,0.50
2022-2023,Influenza,Admissions,18_44,0.334231,3.28,0.00
2024-2025,Broad Acute Respiratory,Admissions,18_44,6.268077,9.03,4.19
2019-2020,RSV,ED Visits,00_04,1.080192,5.88,0.00
2019-2020,RSV,ED Visits,18_44,0.014615,0.08,0.00
2023-2024,RSV,Admissions,65+,0.186346,0.92,0.00
2024-2025,ILI,ED Visits,05_17,3.335577,8.77,0.54
2016-2017,COVID-19,ED Visits,65+,0.000000,0.00,0.00
2020-2021,Broad Acute Respiratory,Admissions,65+,20.531154,34.68,13.82
2023-2024,Broad Acute Respiratory,ED Visits,45_64,9.132308,17.30,5.96
2025-2026,COVID-19,Admissions,65+,0.686905,2.43,0.00
2019-2020,ILI,ED Visits,18_44,2.911346,7.71,0.80
2020-2021,Influenza,ED Visits,00_04,0.055192,0.60,0.00
2024-2025,RSV,ED Visits,65+,0.106538,0.55,0.00
2016-2017,ILI,ED Visits,05_17,4.322692,10.41,1.70
2024-2025,Influenza,ED Visits,18_44,1.076538,4.61,0.01
