season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2025-2026,RSV,Admissions,Other Race/Ethnicity,0.492143,2.68,0.00
2023-2024,Influenza,Admissions,Unknown Race/Ethnicity,0.442692,2.54,0.00
2020-2021,Broad Acute Respiratory,Admissions,Black Non-Hispanic,15.976346,22.48,10.94
2019-2020,ILI,ED Visits,Black Non-Hispanic,3.277115,8.33,0.92
2022-2023,COVID-19,ED Visits,Black Non-Hispanic,1.234808,2.69,0.18
2020-2021,COVID-19,Admissions,Other Race/Ethnicity,5.660000,17.26,0.00
2025-2026,RSV,Admissions,Black Non-Hispanic,0.283333,0.78,0.00
2020-2021,ILI,Admissions,Unknown Race/Ethnicity,0.277115,1.20,0.00
2022-2023,COVID-19,Admissions,White Non-Hispanic,2.116731,5.56,0.21
2021-2022,COVID-19,ED Visits,Other Race/Ethnicity,3.771731,19.83,0.28
2019-2020,RSV,ED Visits,White Non-Hispanic,0.140962,0.81,0.00
2021-2022,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,14.756538,28.94,6.91
2022-2023,ILI,ED Visits,Unknown Race/Ethnicity,1.192692,5.50,0.13
2020-2021,COVID-19,ED Visits,Other Race/Ethnicity,3.694808,10.71,0.00
2015-2016,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,7.668077,11.89,4.25
2020-2021,RSV,ED Visits,Black Non-Hispanic,0.052115,0.27,0.00
2022-2023,RSV,Admissions,Unknown Race/Ethnicity,0.220769,1.71,0.00
2018-2019,Broad Acute Respiratory,ED Visits,White Non-Hispanic,8.768269,13.52,5.85
2020-2021,RSV,ED Visits,White Non-Hispanic,0.070769,0.33,0.00
2025-2026,ILI,Admissions,Other Race/Ethnicity,0.481190,2.07,0.00
2019-2020,ILI,Admissions,Asian Non-Hispanic,1.226154,6.17,0.00
2019-2020,Influenza,Admissions,Hispanic or Latino,1.079808,6.66,0.00
2019-2020,ILI,Admissions,Black Non-Hispanic,1.526538,7.22,0.38
2015-2016,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,2.958654,5.34,1.43
2019-2020,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,11.613846,23.02,4.68
2024-2025,ILI,ED Visits,White Non-Hispanic,1.307885,3.74,0.40
2024-2025,ILI,Admissions,Other Race/Ethnicity,0.532308,2.63,0.00
2021-2022,Broad Acute Respiratory,ED Visits,Hispanic or Latino,12.647308,28.28,7.26
2021-2022,Influenza,Admissions,Asian Non-Hispanic,0.111346,1.29,0.00
2017-2018,ILI,ED Visits,White Non-Hispanic,1.724423,5.33,0.45
