event_year,event_season,respiratory_category,percent
2015,2015-2016,Broad Acute Respiratory,3.94
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.04
2015,2015-2016,RSV,0.01
2015,2015-2016,ILI,1.83
2015,2015-2016,Broad Acute Respiratory,4.53
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.05
2015,2015-2016,RSV,0.00
2015,2015-2016,ILI,2.02
2015,2015-2016,Broad Acute Respiratory,5.18
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.03
2015,2015-2016,RSV,0.01
2015,2015-2016,ILI,1.94
2015,2015-2016,Broad Acute Respiratory,5.87
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.09
2015,2015-2016,RSV,0.01
2015,2015-2016,ILI,1.57
2015,2015-2016,Broad Acute Respiratory,5.94
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.06
2015,2015-2016,RSV,0.00
2015,2015-2016,ILI,1.65
2015,2015-2016,Broad Acute Respiratory,6.24
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.05
2015,2015-2016,RSV,0.02
2015,2015-2016,ILI,1.87
2015,2015-2016,Broad Acute Respiratory,6.11
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.10
2015,2015-2016,RSV,0.02
2015,2015-2016,ILI,1.96
2015,2015-2016,Broad Acute Respiratory,6.20
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.06
2015,2015-2016,RSV,0.02
2015,2015-2016,ILI,1.77
2015,2015-2016,Broad Acute Respiratory,5.77
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.07
2015,2015-2016,RSV,0.04
2015,2015-2016,ILI,2.18
2015,2015-2016,Broad Acute Respiratory,6.03
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.05
2015,2015-2016,RSV,0.06
2015,2015-2016,ILI,2.14
2015,2015-2016,Broad Acute Respiratory,6.21
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.11
2015,2015-2016,RSV,0.08
2015,2015-2016,ILI,2.14
2015,2015-2016,Broad Acute Respiratory,7.41
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.10
2015,2015-2016,RSV,0.16
2015,2015-2016,ILI,2.90
2015,2015-2016,Broad Acute Respiratory,8.24
2015,2015-2016,COVID-19,0.00
2015,2015-2016,Influenza,0.18
2015,2015-2016,RSV,0.20
2015,2015-2016,ILI,2.84
2016,2015-2016,Broad Acute Respiratory,7.44
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.12
2016,2015-2016,RSV,0.13
2016,2015-2016,ILI,2.45
2016,2015-2016,Broad Acute Respiratory,7.14
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.17
2016,2015-2016,RSV,0.12
2016,2015-2016,ILI,2.66
2016,2015-2016,Broad Acute Respiratory,7.29
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.13
2016,2015-2016,RSV,0.08
