event_year,event_week,respiratory_category,percent
2015,40,Broad Acute Respiratory,3.94
2015,40,COVID-19,0.00
2015,40,Influenza,0.04
2015,40,RSV,0.01
2015,40,ILI,1.83
2015,41,Broad Acute Respiratory,4.53
2015,41,COVID-19,0.00
2015,41,Influenza,0.05
2015,41,RSV,0.00
2015,41,ILI,2.02
2015,42,Broad Acute Respiratory,5.18
2015,42,COVID-19,0.00
2015,42,Influenza,0.03
2015,42,RSV,0.01
2015,42,ILI,1.94
2015,43,Broad Acute Respiratory,5.87
2015,43,COVID-19,0.00
2015,43,Influenza,0.09
2015,43,RSV,0.01
2015,43,ILI,1.57
2015,44,Broad Acute Respiratory,5.94
2015,44,COVID-19,0.00
2015,44,Influenza,0.06
2015,44,RSV,0.00
2015,44,ILI,1.65
2015,45,Broad Acute Respiratory,6.24
2015,45,COVID-19,0.00
2015,45,Influenza,0.05
2015,45,RSV,0.02
2015,45,ILI,1.87
2015,46,Broad Acute Respiratory,6.11
2015,46,COVID-19,0.00
2015,46,Influenza,0.10
2015,46,RSV,0.02
2015,46,ILI,1.96
2015,47,Broad Acute Respiratory,6.20
2015,47,COVID-19,0.00
2015,47,Influenza,0.06
2015,47,RSV,0.02
2015,47,ILI,1.77
2015,48,Broad Acute Respiratory,5.77
2015,48,COVID-19,0.00
2015,48,Influenza,0.07
2015,48,RSV,0.04
2015,48,ILI,2.18
2015,49,Broad Acute Respiratory,6.03
2015,49,COVID-19,0.00
2015,49,Influenza,0.05
2015,49,RSV,0.06
2015,49,ILI,2.14
2015,50,Broad Acute Respiratory,6.21
2015,50,COVID-19,0.00
2015,50,Influenza,0.11
2015,50,RSV,0.08
2015,50,ILI,2.14
2015,51,Broad Acute Respiratory,7.41
2015,51,COVID-19,0.00
2015,51,Influenza,0.10
2015,51,RSV,0.16
2015,51,ILI,2.90
2015,52,Broad Acute Respiratory,8.24
2015,52,COVID-19,0.00
2015,52,Influenza,0.18
2015,52,RSV,0.20
2015,52,ILI,2.84
2016,1,Broad Acute Respiratory,7.44
2016,1,COVID-19,0.00
2016,1,Influenza,0.12
2016,1,RSV,0.13
2016,1,ILI,2.45
2016,2,Broad Acute Respiratory,7.14
2016,2,COVID-19,0.00
2016,2,Influenza,0.17
2016,2,RSV,0.12
2016,2,ILI,2.66
2016,3,Broad Acute Respiratory,7.29
2016,3,COVID-19,0.00
2016,3,Influenza,0.13
2016,3,RSV,0.08
2016,3,ILI,2.55
2016,4,Broad Acute Respiratory,7.59
2016,4,COVID-19,0.00
2016,4,Influenza,0.28
2016,4,RSV,0.13
2016,4,ILI,2.98
2016,5,Broad Acute Respiratory,7.68
2016,5,COVID-19,0.00
2016,5,Influenza,0.47
2016,5,RSV,0.15
2016,5,ILI,2.91
2016,6,Broad Acute Respiratory,8.84
2016,6,COVID-19,0.00
2016,6,Influenza,0.74
2016,6,RSV,0.14
2016,6,ILI,3.69
2016,7,Broad Acute Respiratory,9.59
2016,7,COVID-19,0.00
2016,7,Influenza,0.86
2016,7,RSV,0.15
2016,7,ILI,4.35
2016,8,Broad Acute Respiratory,9.15
2016,8,COVID-19,0.00
2016,8,Influenza,0.98
2016,8,RSV,0.12
2016,8,ILI,4.51
2016,9,Broad Acute Respiratory,9.10
